campaign    region  slot_type   slot_template
wh3_main_chaos  wh3_main_chaos_region_krudenwald	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_granite_spikes	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_awakening	secondary	wh2_main_special_the_awakening_secondary
wh3_main_combi	wh3_main_combi_region_hanyu_port	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_pack_ice_bay	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_dark_tower	secondary	wh3_dlc27_dark_tower_secondary
wh3_main_combi	wh3_main_combi_region_krugenheim	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_altar_of_spawns	secondary	wh_main_norsca_minor_secondary
wh3_main_combi	wh3_main_combi_region_karak_norn	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_bitterstone_mine	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_essen	secondary	wh_main_human_minor_secondary_pastures
wh3_main_chaos	wh3_main_chaos_region_bechafen	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_elisia	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_bloodpeak	primary	wh3_main_special_bloodpeak_primary
wh3_main_chaos	wh3_main_chaos_region_nan_li	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_dust_gate	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_bamboo_crossing	primary	wh3_dlc27_human_major_primary_port
wh3_main_chaos	wh3_main_chaos_region_mist_gorge	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_city_of_the_shugengan	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_wolfenburg	secondary	wh_main_human_major_secondary_gold
wh3_main_combi	wh3_main_combi_region_citadel_of_lead	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_po_mei	primary	wh_main_human_major_primary
wh3_main_chaos	wh3_main_chaos_region_bohsenfels	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_dlc20_chaos_region_grung_zint	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_the_star_tower	secondary	wh_dlc24_special_star_tower_secondary
wh3_main_combi	wh3_main_combi_region_erengrad	primary	wh3_main_erengrad_city_primary
wh3_main_combi	wh3_main_combi_region_bilbali	primary	wh3_dlc27_human_major_primary_port
wh3_main_chaos	wh3_main_chaos_region_the_last_sky_castle	secondary	wh_main_human_minor_secondary_salt
wh3_main_combi	wh3_main_combi_region_the_pillars_of_grungni	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_hellcade_drove	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_grung_zint	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_floating_mountain	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_xlanzec	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_dlc20_combi_region_glacial_gardens	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_deff_gorge	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_the_southern_sentinels	primary	wh_main_human_major_primary
wh3_main_chaos	wh3_main_chaos_region_oakenhammer	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_desolation_of_nagash	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_zerulous	secondary	wh3_dlc20_special_zerulous_secondary
wh3_main_combi	wh3_main_combi_region_fallen_gates	primary	wh2_main_special_fallen_gates_primary
wh3_main_combi	wh3_main_combi_region_sartosa	secondary	wh2_main_special_sartosa_secondary
wh3_main_combi	wh3_main_combi_region_wei_jin	secondary	wh3_main_special_wei_jin_secondary_spices
wh3_main_chaos	wh3_dlc20_chaos_region_fort_sollace	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_lahmia	primary	wh2_main_special_lahmia_primary
wh3_main_chaos	wh3_main_chaos_region_black_fortress	secondary	wh3_dlc23_special_black_fortress_secondary
wh3_main_combi	wh3_main_combi_region_altar_of_the_crimson_harvest	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_mighdal_vongalbarak	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_desolation_of_drakenmoor	primary	wh3_main_special_desolation_of_drakenmoor_primary
wh3_main_chaos	wh3_main_chaos_region_grimtop	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_grom_peak	secondary	wh2_dlc15_special_grom_peak_secondary
wh3_main_combi	wh3_main_combi_region_shard_bastion	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_elessaeli	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_zharr_naggrund	primary	wh3_dlc20_special_zharr_naggrund_major_primary
wh3_main_chaos	wh3_main_chaos_region_castle_alexandronov	secondary	wh3_dlc24_special_castle_alexandronov_minor_secondary_wine
wh3_main_combi	wh3_main_combi_region_lyonesse	primary	wh3_dlc27_human_major_primary_port
wh3_main_combi	wh3_main_combi_region_turtle_gate	secondary	wh3_main_cth_bastion_secondary
wh3_main_chaos	wh3_main_chaos_region_shang_wu	secondary	wh3_dlc24_special_shang_wu_major_secondary_animals
wh3_main_chaos	wh3_main_chaos_region_gorssel	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_eilhart	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_waldenhof	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_kraka_dorden	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_golden_colossus	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_the_high_sentinel	secondary	wh_main_human_minor_secondary_iron
wh3_main_combi	wh3_main_combi_region_itza	secondary	wh2_main_special_itza_secondary
wh3_main_chaos	wh3_main_chaos_region_chimera_plateau	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_wolfenburg	secondary	wh3_dlc27_special_wolfenburg_secondary
wh3_main_combi	wh3_main_combi_region_city_of_the_shugengan	secondary	wh3_cp1_human_minor_secondary_city_of_the_shugengan
wh3_main_combi	wh3_main_combi_region_eilhart	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_mordheim	secondary	wh3_main_special_mordheim_secondary
wh3_main_combi	wh3_main_combi_region_chamber_of_visions	primary	wh2_main_special_chamber_of_visions_primary
wh3_main_chaos	wh3_main_chaos_region_rosche	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_great_turtle_isle	primary	wh2_main_special_elven_colony_major_primary
wh3_main_chaos	wh3_main_chaos_region_shattered_stone_bay	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_valayas_sorrow	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_marienburg	primary	wh_main_special_marienburg_primary
wh3_main_combi	wh3_main_combi_region_chaqua	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_lothern	secondary	wh2_main_special_lothern_secondary
wh3_main_combi	wh3_main_combi_region_pfeildorf	secondary	wh_main_special_pfeildorf_secondary
wh3_main_chaos	wh3_dlc20_chaos_region_neuland	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_iron_storm	primary	wh3_dlc23_special_iron_storm_primary
wh3_main_combi	wh3_main_combi_region_shrine_of_sotek	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_chill_road	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_the_monolith_of_kjarl_deathaxe	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_temple_of_tlencan	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_pigbarter	primary	wh2_dlc14_special_gnoblar_country_pigbarter_primary
wh3_main_combi	wh3_main_combi_region_the_maw_gate	primary	wh3_cp1_human_minor_primary_maw_gate
wh3_main_chaos	wh3_main_chaos_region_karak_azorn	primary	wh_main_human_major_primary
wh3_main_chaos	wh3_main_chaos_region_blood_haven	secondary	wh3_dlc20_special_blood_haven_secondary
wh3_main_combi	wh3_main_combi_region_ash_ridge_mountains	secondary	wh_main_dwarf_orc_minor_secondary_savage
wh3_main_combi	wh3_main_combi_region_the_howling_citadel	secondary	wh3_dlc20_special_the_howling_citadel_secondary
wh3_main_chaos	wh3_main_chaos_region_hell_pit	secondary	wh2_main_special_hellpit_secondary
wh3_main_combi	wh3_main_combi_region_qiang	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_tower_of_the_stars	secondary	wh3_dlc27_special_tower_of_the_stars_secondary
wh3_main_combi	wh3_main_combi_region_the_fortress_of_vorag	primary	wh_main_human_major_primary
wh3_main_chaos	wh3_main_chaos_region_plesk	secondary	wh3_dlc24_special_plesk_secondary
wh3_main_combi	wh3_main_combi_region_dread_rock	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_mines_of_gorgoth	secondary	wh_main_human_minor_secondary_gold
wh3_main_combi	wh3_main_combi_region_zvorak	secondary	wh_main_human_minor_secondary_marble
wh3_main_combi	wh3_main_combi_region_shagrath	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_varg_camp	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_laurelorn_forest	secondary	wh2_main_special_laurelorn_forest_secondary
wh3_main_combi	wh3_main_combi_region_ash_ridge_mountains	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_chasm_of_torment	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_zhizhu	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_temple_of_skulls	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_matorca	secondary	wh_main_human_minor_secondary_salt
wh3_main_combi	wh3_main_combi_region_mousillon	primary	wh2_main_special_mousillon_primary
wh3_main_combi	wh3_main_combi_region_the_blood_hall	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_phoenix_gate	secondary	wh2_main_special_fortress_gate_secondary
wh3_main_combi	wh3_main_combi_region_the_galleons_graveyard	port	wh2_main_special_galleons_graveyard_port
wh3_main_combi	wh3_main_combi_region_great_hall_of_greasus	secondary	wh3_main_special_great_hall_of_greasus_secondary_gold
wh3_main_combi	wh3_main_combi_region_the_awakening	primary	wh2_main_special_the_awakening_primary
wh3_main_combi	wh3_main_combi_region_karak_vrag	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_skeggi	secondary	wh2_main_special_skeggi_secondary_major
wh3_main_combi	wh3_main_combi_region_karak_bhufdar	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_dread_rock	primary	wh3_dlc27_human_major_primary_port
wh3_main_combi	wh3_main_combi_region_great_turtle_isle	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_shattered_stone_isle	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_red_fortress	secondary	wh3_main_combi_special_red_fortress_secondary
wh3_main_chaos	wh3_main_chaos_region_sjoktraken	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_thrice_cursed_peak	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_karak_azorn	secondary	wh3_main_special_karak_azorn_secondary
wh3_main_combi	wh3_main_combi_region_stormvrack_mount	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_grey_rock_point	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_oyxl	secondary	wh2_main_special_oyxl_secondary
wh3_main_combi	wh3_main_combi_region_sun_tree_glades	secondary	wh_main_dwarf_orc_minor_secondary_savage
wh3_main_combi	wh3_main_combi_region_plain_of_dogs	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_evershale	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_karak_bhufdar	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_troll_fjord	secondary	wh_main_norsca_minor_secondary
wh3_main_combi	wh3_main_combi_region_ironfrost	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_gnobbly_gorge	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_sump_pit	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_castle_drakenhof	primary	wh_main_special_castle_drakenhof_primary
wh3_main_combi	wh3_main_combi_region_iron_rock	secondary	wh2_main_special_iron_rock_secondary
wh3_main_combi	wh3_main_combi_region_shroktak_mount	secondary	wh_main_human_minor_secondary
wh3_main_prologue	wh3_prologue_region_mirror_marshes_the_loci_palace	primary	wh3_main_prologue_minor_primary
wh3_main_chaos	wh3_main_chaos_region_temple_of_heimkel	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_howling_rock	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_stonemine_tower	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_crooked_fang_fort	primary	wh3_cp1_human_major_primary_crooked_fang_fort
wh3_main_combi	wh3_main_combi_region_karak_azul	primary	wh_main_special_karak_azul_primary
wh3_main_chaos	wh3_main_chaos_region_leblya	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_har_kaldra	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_yhetee_peak	secondary	wh3_cp1_human_minor_secondary_yhetee_peak
wh3_main_combi	wh3_main_combi_region_tower_of_the_stars	primary	wh2_main_special_elven_colony_minor_primary
wh3_main_combi	wh3_main_combi_region_dringorackaz	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_bleak_hold_fortress	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_marienburg	secondary	wh_main_special_marienburg_secondary
wh3_main_combi	wh3_main_combi_region_karak_angazhar	secondary	wh_main_human_minor_secondary_pastures
wh3_main_combi	wh3_main_combi_region_altar_of_ultimate_darkness	primary	wh2_main_special_altar_of_ultimate_darkness_primary
wh3_main_chaos	wh3_main_chaos_region_qiang	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_wizard_caliphs_palace	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_shrine_of_the_alchemist	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_iron_storm	secondary	wh3_dlc23_special_iron_storm_secondary
wh3_main_combi	wh3_main_combi_region_aarnau	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_mount_gunbad	secondary	wh3_dlc25_chaos_region_mount_gunbad_special
wh3_main_combi	wh3_main_combi_region_karak_azorn	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_the_black_pit	secondary	wh3_dlc24_special_black_pit_secondary
wh3_main_combi	wh3_main_combi_region_tor_yvresse	secondary	wh2_main_special_tor_yvresse_secondary
wh3_main_combi	wh3_main_combi_region_dietershafen	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_kurak_peak	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_altdorf	primary	wh_main_special_altdorf_primary
wh3_main_combi	wh3_main_combi_region_vauls_anvil_naggaroth	primary	wh2_main_special_def_vauls_anvil_primary
wh3_main_combi	wh3_main_combi_region_the_fortress_of_vorag	secondary	wh_dlc15_special_plain_of_bones_fortress_of_vorag_secondary_major
wh3_main_combi	wh3_main_combi_region_bamboo_crossing	secondary	wh3_cp1_human_major_secondary_bamboo_crossing
wh3_main_combi	wh3_main_combi_region_tower_of_ashung	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_bechafen	secondary	wh_main_human_major_secondary_pottery
wh3_main_chaos	wh3_main_chaos_region_sepukzy	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_quatar	primary	wh2_dlc09_special_quatar_primary
wh3_main_combi	wh3_main_combi_region_amblepeak	secondary	wh3_cp1_human_minor_secondary_amblepeak
wh3_main_chaos	wh3_main_chaos_region_the_falls_of_doom	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_lybaras	secondary	wh2_main_human_minor_secondary_spices
wh3_main_combi	wh3_main_combi_region_nahuontl	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_dragon_fang_mount	secondary	wh3_dlc27_special_secondary_dragon_fang_mount
wh3_main_combi	wh3_main_combi_region_chimai	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_port_reaver	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_waili_village	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_mangrove_coast	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_fu_hung	primary	wh3_main_special_fu_hung_major_primary
wh3_main_combi	wh3_main_combi_region_hidden_landing	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_desolation_ridge	secondary	wh3_dlc27_desolation_ridge_secondary
wh3_main_chaos	wh3_main_chaos_region_castle_alexandronov	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_altar_of_the_crimson_harvest	primary	wh3_dlc20_chaos_dark_fortress_primary
wh3_main_chaos	wh3_main_chaos_region_pack_ice_bay	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_hissing_pits	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_bitter_bay	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_tlanxla	secondary	wh3_dlc27_special_secondary_tlanxla
wh3_main_chaos	wh3_main_chaos_region_the_gates_of_zharr	secondary	wh3_dlc23_special_gates_of_zharr_secondary
wh3_main_combi	wh3_main_combi_region_altar_of_the_crimson_harvest	secondary	wh3_dlc20_special_icedrake_fjord_secondary
wh3_main_combi	wh3_main_combi_region_vitevo	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_forest_of_gloom	primary	wh_main_special_waterfall_palace_primary
wh3_main_combi	wh3_main_combi_region_stormhenge	secondary	wh3_dlc26_special_stormhenge_secondary
wh3_main_combi	wh3_main_combi_region_marks_of_the_old_ones	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_moon_shard	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_shi_long	primary	wh3_main_special_shi_long_primary
wh3_main_combi	wh3_main_combi_region_kemperbad	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_bloodwind_keep	secondary	wh3_main_special_bloodwind_keep_secondary_obsidian
wh3_main_combi	wh3_main_combi_region_fort_straghov	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_tower_of_ashung	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_niedling	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_ming_zhu	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_kislev	secondary	wh3_main_kislev_city_secondary
wh3_main_chaos	wh3_main_chaos_region_infernius	primary	wh3_dlc20_special_infernius_major_primary
wh3_main_combi	wh3_main_combi_region_arnheim	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_palace_of_princes	secondary	wh3_main_special_palace_of_princes_secondary
wh3_main_combi	wh3_main_combi_region_dargoth	secondary	wh2_main_human_minor_secondary_obsidian
wh3_main_chaos	wh3_main_chaos_region_the_challenge_stone	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_subatuun	secondary	wh_main_human_minor_secondary_pastures
wh3_main_combi	wh3_main_combi_region_antoch	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_city_of_splinters	secondary	wh3_dlc20_special_city_of_splinters_secondary
wh3_main_combi	wh3_main_combi_region_altar_of_ultimate_darkness	secondary	wh2_main_special_altar_of_ultimate_darkness_secondary
wh3_main_combi	wh3_main_combi_region_yetchitch	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_fortress_of_the_damned	secondary	wh3_main_special_fortress_of_the_damned_secondary_marble
wh3_main_chaos	wh3_main_chaos_region_icedrake_fjord	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_uzkulak	secondary	wh3_dlc23_special_uzkulak_secondary
wh3_main_combi	wh3_main_combi_region_rotten_stone	primary	wh3_dlc27_rotten_stone_primary
wh3_main_prologue	wh3_prologue_region_the_falls_of_circatrex_the_rookery	secondary	wh_main_norsca_major_secondary
wh3_main_combi	wh3_main_combi_region_tower_of_the_stars	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_grey_rock_point	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_li_zhu	secondary	wh_main_human_minor_secondary_wine
wh3_main_chaos	wh3_dlc20_chaos_region_losteriksons_landing	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_tower_of_gorgoth	primary	wh3_main_special_tower_of_gorgoth_primary
wh3_main_combi	wh3_main_combi_region_baleful_hills	secondary	wh_main_human_minor_secondary_pastures
wh3_main_chaos	wh3_main_chaos_region_the_red_abyss	secondary	wh_main_human_minor_secondary_dyes
wh3_main_combi	wh3_main_combi_region_the_witchwood	secondary	wh2_dlc16_witchwood_secondary
wh3_main_combi	wh3_main_combi_region_floating_village	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_deaths_head_monoliths	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_igerov	primary	wh_main_human_minor_primary
